,Location,Borough,Date Installed,lat,lng
845,Northern Boulevard and Sanford Avenue,Queens,6/17/2022,40.759994,-73.801003
846,Northern Boulevard at 104th Street,Queens,6/1/2020,40.757655,-73.864613
847,Northern Boulevard at 155th Street,Queens,6/9/2020,40.764417,-73.810046
848,Northern Boulevard at 167th Street,Queens,6/8/2020,40.759441,-73.799398
849,Northern Boulevard at 211th Street,Queens,3/20/2014,40.759665,-73.771805
850,Northern Boulevard at 79th Street ,Queens,3/30/2020,40.75522,-73.888147
851,Northern Boulevard at 93rd Street,Queens,6/3/2020,40.756577,-73.875127
852,Northern Boulevard with Roosevelt Avenue and 156th Street,Queens,11/1/2016,38.633598,-83.438904
853,Park Drive East at 136th Street,Queens,1/16/2020,40.729903,-73.833091
854,Parsons Boulevard at Franklin Avenue,Queens,9/24/2020,40.758495,-73.820081
855,Queens Boulevard (eastbound) and Woodhaven Boulevard,Queens,4/23/2012,40.681466,-73.844939
856,Queens Boulevard (westbound) and Woodhaven Boulevard,Queens,3/14/2012,40.712944,-73.827464
857,Queens Boulevard and 32nd Place,Queens,7/21/2020,40.744623,-73.932642
858,Queens Boulevard and 35th Street,Queens,4/18/2020,40.744302,-73.929852
859,Queens Boulevard and 36th Street,Queens,8/10/2021,40.744194,-73.928927
860,Queens Boulevard and 37th Street ,Queens,5/2/2019,40.744083,-73.928007
861,Queens Boulevard and 39th Street ,Queens,5/3/2019,40.743872,-73.926193
862,Queens Boulevard and 40th Street,Queens,3/24/2022,40.74396,-73.924232
863,Queens Boulevard and 41st Street ,Queens,5/11/2019,40.743856,-73.923301
864,Queens Boulevard and 42nd Street,Queens,2/26/2019,40.743749,-73.922366
865,Queens Boulevard and 43rd Street,Queens,1/15/2020,40.743644,-73.921447
866,Queens Boulevard and 45th Street,Queens,1/10/2020,40.743429,-73.919594
867,Queens Boulevard and 58th Street,Queens,1/20/2014,40.741668,-73.90756
868,Queens Boulevard and 66th Street (BQE East Bound Entrance),Queens,4/10/2022,45.19694,-67.26793
869,Queens Boulevard and Queens Borough Hall,Queens,10/31/2015,40.73421,-73.87363
870,Queens Boulevard at 38th Street,Queens,1/7/2020,40.743977,-73.927079
871,Queens Boulevard at 39th Place,Queens,10/22/2019,40.744065,-73.925162
872,Queens Boulevard between 72nd and 73rd Streets,Queens,11/10/2016,40.759776,-73.817302
873,Queens Boulevard EB SR and Union Turnpike SB SR,Queens,9/25/2021,40.71424,-73.830593
874,Queens Boulevard with 57th Avenue and Hoffman Drive,Queens,1/19/2022,40.759776,-73.817302
875,Queens Boulevard with 64th Avenue and 64th Road,Queens,3/30/2021,44.288555,-64.930618
876,Queens Boulevard with 68th Street and BQE Eastbound Entrance,Queens,3/3/2022,38.856899,-80.136902
877,Queens Boulevard with 71st Avenue and 108th Street,Queens,3/7/2020,40.747304,-73.939306
878,Queens Plaza North and 28th Street,Queens,8/13/2019,40.750269,-73.938645
879,Review Avenue and 37th Street,Queens,8/13/2020,40.733769,-73.937432
880,Rockaway Beach Boulevard and Beach 110th Street,Queens,6/14/2022,40.581238,-73.832046
881,Rockaway Boulevard and 110th Street,Queens,5/9/2019,40.677705,-73.828845
882,Rockaway Boulevard and 123rd Street ,Queens,8/6/2019,40.675543,-73.814477
883,Rockaway Boulevard and 135th Street,Queens,11/3/2021,40.674534,-73.803223
884,Rockaway Boulevard and 140th Street,Queens,4/7/2021,40.674284,-73.800624
885,Rockaway Boulevard and 142nd Street,Queens,10/7/2019,40.674127,-73.798908
886,Rockaway Boulevard and 98th Street ,Queens,8/13/2019,40.680159,-73.840934
887,Rockaway Boulevard at 130th Street,Queens,1/14/2020,40.674995,-73.808542
888,Rockaway Boulevard at 81st Street,Queens,6/20/2020,40.684489,-73.859676
889,Rockaway Boulevard with 101st Avenue and 88th Street,Queens,10/8/2019,38.856899,-80.136902
890,Rockaway Boulevard with 131st Street and Lincoln Street,Queens,4/9/2021,38.856899,-80.136902
891,Rockaway Boulevard with 132nd Street and 120th Avenue,Queens,8/17/2020,44.288555,-64.930618
892,Rockaway Boulevard with 84th Street and Digby Place,Queens,4/11/2019,38.633598,-83.438904
893,Rockaway Boulevard with 85th Street and 97th Avenue,Queens,6/14/2022,40.759776,-73.817302
894,Rockaway Boulevard with Foch Boulevard and 126th Street,Queens,1/5/2020,40.675302,-73.811762
895,Roosevelt Avenue and 55th Street,Queens,5/4/2021,40.744938,-73.909606
896,Roosevelt Avenue and 57th Street,Queens,3/5/2021,40.745296,-73.907505
897,Roosevelt Avenue and 77th Street,Queens,5/16/2022,40.747134,-73.888684
898,Roosevelt Avenue and 78th Street,Queens,5/25/2022,40.747227,-73.887776
899,Roosevelt Avenue and 98th Street,Queens,6/7/2021,40.749359,-73.86751
900,Roosevelt Avenue and Bowne Street,Queens,5/12/2021,40.760993,-73.824434
901,"Roosevelt Avenue with Elmhurst Avenue, Case Street and 90th Street",Queens,4/8/2022,38.633598,-83.438904
902,Roosevelt Avenue with Woodside Avenue and 59th Avenue,Queens,4/26/2021,40.759776,-73.817302
903,Sayres Avenue with 111th Avenue and 177th Street,Queens,5/7/2021,38.633598,-83.438904
904,Seneca Avenue and Cornelia Street,Queens,7/25/2014,40.701049,-73.90474
905,Seneca Avenue and Stephen Street,Queens,4/6/2021,40.698735,-73.900802
906,Skillman Avenue and 54th Street,Queens,10/8/2019,40.745568,-73.909945
907,Springfield Boulevard at Amboy Lane,Queens,6/13/2020,40.717931,-73.735364
908,Steinway Street and  440' north of 31st Avenue (midblock crossing),Queens,5/22/2018,38.856899,-80.136902
909,Steinway Street between 34th Avenue and Broadway (midblock),Queens,7/26/2018,40.760848,-73.922992
910,Steinway Street between Broadway and 31st Avenue (midblock),Queens,6/30/2018,40.761317,-73.917088
911,Sutphin Boulevard and Archer Avenue,Queens,3/13/2017,40.70058,-73.807717
912,Thomson Avenue and 31st Place (mid-block),Queens,5/27/2020,40.744959,-73.9354
913,Union Street at 26th Avenue,Queens,7/21/2020,40.774511,-73.82627
914,Union Turnpike and Francis Lewis Boulevard,Queens,3/7/2017,40.73175,-73.769978
915,Union Turnpike and Springfield Boulevard,Queens,10/27/2016,40.735738,-73.746521
916,Union Turnpike and Utopia Parkway,Queens,10/16/2019,40.725725,-73.791771
917,Utopia Parkway and 75th Avenue,Queens,5/3/2022,40.728456,-73.792797
918,Utopia Parkway and 76th Avenue,Queens,4/14/2021,40.727161,-73.792362
919,Vernon Boulevard and 40th Avenue,Queens,11/30/2016,40.757799,-73.945806
920,Whitney Avenue and Denman Street,Queens,8/26/2020,40.746671,-73.874906
921,Woodhaven Boulevard (NB) and Long Island Epressway entrance ramp,Queens,3/14/2012,44.288555,-64.930618
922,Woodhaven Boulevard and 64th Road,Queens,9/25/2019,40.721523,-73.866493
923,Woodhaven Boulevard and 66th Avenue,Queens,7/3/2019,40.71831,-73.863481
924,Woodhaven Boulevard and 86th Drive (East Leg),Queens,10/23/2018,40.694137,-73.852149
925,Woodhaven Boulevard and 86th Drive (West Leg),Queens,10/23/2018,40.694137,-73.852149
926,Woodhaven Boulevard and Forest Park Drive,Queens,3/30/2017,40.700648,-73.854484
927,Woodhaven Boulevard and Metropolitan Avenue,Queens,9/25/2019,40.711862,-73.859865
928,Woodhaven Boulevard at Park Lane South,Queens,1/14/2020,40.697577,-73.852633
929,Woodhaven Boulevard East Service Road and 180’ South of Jamaica Avenue,Queens,10/23/2018,38.856899,-80.136902
930,Woodhaven Boulevard West Service Road and 147’ South of Jamaica Avenue,Queens,10/23/2018,44.288555,-64.930618
931,Woodhaven Boulevard with Penelope Avenue and 63rd Drive,Queens,3/20/2020,38.856899,-80.136902
932,Yellowstone Boulevard and 63rd Avenue,Queens,11/20/2020,40.734314,-73.852902
933,Yellowstone Boulevard and Austin Street ,Queens,12/6/2019,40.722575,-73.851353
934,Yellowstone Boulevard and Groton Street,Queens,7/13/2020,40.719028,-73.856158
935,Yellowstone Boulevard and Queens Boulevard,Queens,10/31/2018,40.722968,-73.847298
936,Amboy Road at Poillon Avenue,Staten Island,6/8/2020,40.535525,-74.178868
937,Amboy Road with Ridgecrest Avenue and Putnam Street,Staten Island,5/27/2022,40.643498,-74.076203
938,Arden Avenue and Forest Green,Staten Island,5/16/2022,40.556012,-74.194746
939,Bay Street and New Lane,Staten Island,6/21/2022,40.61185,-74.064458
940,Bay Street and Townsend Avenue,Staten Island,8/24/2021,40.621458,-74.07175
941,Bay Street with Front Street and Edgewater Street,Staten Island,6/13/2022,40.643498,-74.076203
942,Brielle Avenue and Bradley Avenue,Staten Island,6/6/2022,40.598856,-74.130826
943,Brielle Avenue and Gansevoort Boulevard (Wagner High School),Staten Island,5/25/2006,40.598145,-74.12546
944,Brielle Avenue and Suffolk Avenue,Staten Island,5/18/2022,40.59833,-74.127152
945,Castleton Avenue and Bard Avenue,Staten Island,7/21/2007,40.634709,-74.106546
946,Castleton Avenue and Brighton Avenue (S.I. Center for Independent Living),Staten Island,1/19/2006,40.63457,-74.11721
947,Castleton Avenue and Conyingham Avenue,Staten Island,2/16/2022,40.634663,-74.102531
948,Clarke Avenue and Kensico Street,Staten Island,5/16/2022,40.567722,-74.139777
949,Clove Road and Clove Lake Place,Staten Island,10/24/2016,40.626214,-74.119633
950,Forest Avenue and Bement Avenue,Staten Island,12/10/2019,40.629682,-74.111225
951,Forest Avenue and Davis Avenue,Staten Island,8/30/2019,40.63025,-74.108122
952,Forest Avenue and Harbor Road,Staten Island,5/18/2022,40.626501,-74.160484
953,Forest Avenue and North Mada Avenue,Staten Island,10/18/2021,40.630462,-74.106914
954,Forest Avenue and Sanders Street ,Staten Island,2/6/2019,40.625367,-74.151374
955,Foster Road and Ramona Avenue,Staten Island,5/16/2022,40.536498,-74.205
956,Howard Avenue and Hillside Avenue,Staten Island,9/24/2014,40.61758,-74.094072
957,Hylan Boulevard and Bedford Avenue,Staten Island,10/9/2020,40.578628,-74.101683
958,Hylan Boulevard and Huegenot Avenue,Staten Island,3/13/2019,40.524033,-74.186117
959,Hylan Boulevard and Page Avenue,Staten Island,3/10/2020,40.507729,-74.230063
960,Hylan Boulevard and West Fingerboard Road,Staten Island,5/19/2021,40.598958,-74.072269
961,Hylan Boulevard and Yetman Avenue,Staten Island,3/10/2020,40.504834,-74.241635
962,Hylan Boulevard at Arbutus Avenue,Staten Island,1/5/2020,40.526125,-74.180332
963,Hylan Boulevard at Tysens Lane,Staten Island,10/22/2019,40.563873,-74.116287
964,Hylan Boulevard with Ebbitts Street and Allison Avenue,Staten Island,6/4/2021,40.643498,-74.076203
965,Hylan Boulevard with Wendy Drive and St. Joseph’s High School ,Staten Island,5/31/2019,40.52668,-74.17837
966,Innis Street and Trantor Place,Staten Island,10/23/2019,40.633793,-74.142783
967,New Dorp Lane (mid-block) between Hylan Boulevard and Mill Road,Staten Island,10/19/2018,40.643498,-74.076203
968,North Railroad Avenue and Fremont Avenue ,Staten Island,12/11/2019,40.579113,-74.109825
969,Post Avenue and Decker Avenue,Staten Island,6/4/2022,40.632132,-74.132841
970,Richmond Avenue and Monsey Place,Staten Island,10/7/2020,40.6242,-74.149057
971,Richmond Avenue and Wilson Avenue ,Staten Island,5/18/2022,40.545399,-74.16573
972,Richmond Road with Todt Hill Road and Greeley Avenue,Staten Island,5/3/2022,40.580309,-74.113673
973,Richmond Terrace and Alaska Street,Staten Island,9/21/2021,40.639186,-74.12182
974,Richmond Terrace and Sharpe Avenue,Staten Island,5/18/2015,40.640231,-74.136651
975,Richmond Terrace and St Peters Place,Staten Island,6/29/2022,40.648194,-74.084518
976,Rockland Avenue and Brielle Avenue,Staten Island,5/27/2022,40.589024,-74.138671
977,South Avenue and Lois Lane,Staten Island,6/23/2022,40.612198,-74.175517
978,South Railroad Avenue and Fremont Avenue ,Staten Island,12/11/2019,40.578922,-74.109405
979,Targee Street and Naples Street (235’ North of Venice Street),Staten Island,5/7/2015,40.643498,-74.076203
980,Tompkins Avenue and Clifton Avenue,Staten Island,3/2/2022,40.612738,-74.0714
981,Tompkins Avenue and Hill Street,Staten Island,10/19/2015,40.622006,-74.078268
982,Vanderbilt Avenue and Targee Street,Staten Island,1/2/2019,40.615176,-74.084672
983,Victory Boulevard and Cebra Avenue ,Staten Island,6/10/2022,40.633969,-74.085753
984,Victory Boulevard and Clove Road ,Staten Island,5/1/2018,40.616419,-74.103515
985,Victory Boulevard and Eddy Street,Staten Island,9/4/2014,40.626544,-74.09159
986,Victory Boulevard and Royal Oak Road,Staten Island,2/24/2022,40.613742,-74.114142
987,Woodrow Road with Billings Street and Tynan Street,Staten Island,5/5/2020,40.5619,-74.181958
988,3rd Avenue and East 138th Street,the Bronx,10/18/2019,40.811087,-73.927295
989,3rd Avenue and East 168th Street ,the Bronx,10/5/2020,40.831062,-73.905841
990,3rd Avenue and East 178th Street,the Bronx,7/19/2019,40.8478,-73.895613
991,3rd Avenue between East 169th Street and East 170th Street (mid-block) ,the Bronx,12/11/2018,47.102729,-122.306086
992,Alexander Avenue and East 137th Street,the Bronx,11/12/2019,40.80937,-73.925625
993,Alexander Avenue between East 135th Street and East 137th Street (mid-block),the Bronx,3/25/2020,40.80937,-73.925625
994,Arthur Avenue and East 176th Street,the Bronx,3/14/2020,40.844698,-73.893976
995,Astor Avenue and Colden Avenue,the Bronx,10/7/2015,40.859677,-73.859797
996,Bailey Avenue and West 234th Street and Bailey Place,the Bronx,10/14/2015,40.880495,-73.900673
997,Bartow Avenue and Baychester Avenue,the Bronx,11/22/2019,40.868878,-73.831714
998,Bartow Avenue and Co-Op City Boulevard and Bay Plaza Boulevard,the Bronx,10/8/2015,40.869442,-73.826253
999,Baychester Avenue and 200’ South of Donizetti Place (mid-block),the Bronx,12/26/2018,40.876029,-73.83378
1000,Baychester Avenue and Donizetti Place,the Bronx,6/3/2022,40.876029,-73.83378
1001,Baychester Avenue with Tillotson Avenue and Rombouts Avenue,the Bronx,9/9/2021,40.881985,-73.828686
1002,Boston Road and Bivona Street ,the Bronx,7/3/2019,40.884121,-73.833593
1003,Boston Road and Boller Avenue (South Leg),the Bronx,4/14/2021,40.882055,-73.836568
1004,Boston Road and East 212th Street/Pearsall Avenue,the Bronx,10/30/2015,40.874456,-73.852143
1005,Boston Road and Edson Avenue,the Bronx,3/30/2021,40.880931,-73.839653
1006,Boston Road and Secor Avenue,the Bronx,11/15/2019,40.884548,-73.832325
1007,Boston Road and Waring Avenue,the Bronx,3/25/2021,40.861339,-73.866732
1008,Boston Road with Dyre Avenue and Steenwick Avenue,the Bronx,3/19/2021,40.884712,-73.831298
1009,Broadway and Mosholu Avenue,the Bronx,2/18/2022,40.904488,-73.896422
1010,Broadway and Van Cortlandt Park  (580' South of 251st Street),the Bronx,1/1/2017,40.89904,-73.89721
1011,Broadway and West 232nd Street,the Bronx,4/7/2022,40.8801,-73.903818
1012,Broadway with West 240th Street and Van Cortlandt Park South,the Bronx,2/4/2022,40.886548,-73.899872
1013,Bronx and Pelham Parkway South Eastbound at Seymour Avenue,the Bronx,1/9/2020,38.136783,-92.673698
1014,Bronxwood Avenue and 221st Street,the Bronx,10/11/2017,40.883162,-73.856278
1015,Bronxwood Avenue and East 213th Street,the Bronx,9/15/2017,40.87772,-73.859282
1016,Bronxwood Avenue and East 219th Street,the Bronx,2/3/2010,40.881746,-73.85706
1017,Bronxwood Avenue and East 220th Street,the Bronx,2/3/2010,40.882449,-73.856673
1018,Bronxwood Avenue and East 230th Street ,the Bronx,3/10/2022,40.889504,-73.852764
1019,Brook Avenue and East 163rd Street,the Bronx,9/23/2021,40.824846,-73.911265
1020,Bruckner Boulevard North Westbound and Boynton Avenue,the Bronx,3/18/2022,40.823603,-73.877061
1021,Burke Avenue and Yates Avenue,the Bronx,1/18/2017,40.871212,-73.854562
1022,City Island Avenue and Bowne Street,the Bronx,2/26/2020,40.850852,-73.788245
1023,Co-Op City Boulevard and 550’ North of Bellamy Loop North (mid-block) ,the Bronx,12/4/2019,40.873152,-73.826443
1024,Co-Op City Boulevard and Carver Loop East,the Bronx,10/9/2015,40.878512,-73.82648
1025,Co-Op City Boulevard and Rombouts Avenue and Carver Loop West,the Bronx,10/13/2015,40.879491,-73.827141
1026,Crosby Avenue and Coddington Avenue,the Bronx,3/12/2020,40.840615,-73.82968
1027,Cross Bronx Expressway Southbound Service Road and Entrance to Bronx River Parkway Northbound,the Bronx,6/11/2022,40.835959,-73.873481
1028,Crotona Avenue between East 181st and East 182nd Streets,the Bronx,9/21/2017,41.28944,-87.297899
1029,East 156th Street and Union Avenue,the Bronx,1/14/2022,40.817582,-73.903585
1030,East 161st Street and Grant Avenue (mid-block),the Bronx,4/2/2019,40.823343,-73.911178
1031,East 161st Street and Pedestrian Crossing (400’ West of River Avenue) (mid-block),the Bronx,3/8/2019,40.827827,-73.925933
1032,East 163rd Street and Eagle Avenue,the Bronx,3/29/2022,40.823818,-73.907748
1033,East 163rd Street and Rogers Place,the Bronx,3/2/2014,40.821007,-73.897881
1034,East 163rd Street between Trinity Avenue and Tinton Avenue (mid-block) ,the Bronx,12/11/2018,40.822719,-73.903157
1035,East 167th Street and Kelly Street,the Bronx,5/18/2021,40.825995,-73.895851
1036,East 170th Street and 150’ West of Grand Concourse ,the Bronx,4/29/2019,40.838741,-73.913535
1037,East 174th Street and Morrison Avenue,the Bronx,8/30/2021,40.834011,-73.875662
1038,East 174th Street and Stratford Avenue,the Bronx,4/18/2020,40.83388,-73.876585
1039,East 175th Street and Townsend Avenue,the Bronx,9/17/2019,40.847323,-73.911468
1040,East 183rd Street at Creston Avenue,the Bronx,1/8/2020,40.857759,-73.900937
1041,East 189th Street and Park Avenue,the Bronx,6/18/2022,40.859996,-73.891124
1042,East 233rd Street and Carpenter Avenue,the Bronx,3/28/2017,40.89427,-73.860279
1043,East Fordham Road and 3rd Avenue,the Bronx,6/18/2022,40.861055,-73.890318
1044,East Fordham Road and Bathgate Avenue,the Bronx,1/29/2019,40.859605,-73.887248
1045,East Gun Hill Road and Arnow Avenue,the Bronx,11/22/2021,40.866535,-73.838674
1046,East Gun Hill Road and Fish Avenue,the Bronx,6/15/2022,40.87103,-73.8473
1047,East Gun Hill Road and Gunther Avenue,the Bronx,7/20/2018,40.865134,-73.836004
1048,East Gun Hill Road and Kings College Place,the Bronx,6/25/2019,40.879867,-73.875953
1049,East Gun Hill Road and Putnam Place,the Bronx,10/29/2021,40.879579,-73.875365
1050,East Gun Hill Road with Holland Avenue and Tilden Street,the Bronx,1/9/2020,40.876678,-73.864214
1051,East Gun Hill Road with Perry Ave and Reservoir Place,the Bronx,4/18/2019,40.879097,-73.874375
1052,East Gun Hill Road with Seymour Avenue and Sexton Place,the Bronx,5/7/2022,40.870556,-73.846401
1053,East Tremont Avenue and Coddington Avenue,the Bronx,6/18/2022,40.838108,-73.834996
1054,East Tremont Avenue and Creston Avenue,the Bronx,9/3/2019,40.850393,-73.906986
1055,East Tremont Avenue and Dudley Avenue,the Bronx,5/14/2022,40.83917,-73.836272
1056,East Tremont Avenue and Jerome Avenue,the Bronx,1/3/2019,40.851807,-73.909209
1057,East Tremont Avenue and Lehman High School (mid-block) ,the Bronx,12/7/2018,39.390897,-99.066067
1058,East Tremont Avenue at Purdy Street,the Bronx,7/29/2020,40.842212,-73.855164
1059,East Tremont Avenue with Hutchinson River Parkway and Ericson Place,the Bronx,1/18/2017,40.84348,-73.836771
1060,Eastchester Road and Jarrett Place,the Bronx,10/14/2020,40.844974,-73.84555
1061,Eastchester Road and Waters Place,the Bronx,6/29/2022,40.846364,-73.844612
1062,Edward L Grant Highway and Shakespeare Avenue,the Bronx,9/9/2021,40.841096,-73.921923
1063,Edward L Grant Highway and West 170th Avenue,the Bronx,2/5/2021,40.840291,-73.921406
1064,Edward L Grant Hwy and West 169 Street,the Bronx,8/18/2016,40.83845,-73.921855
1065,Ft. Independence Street and Heath Avenue,the Bronx,3/18/2022,40.878786,-73.899479
1066,Goulden Avenue and Lehman College High School,the Bronx,6/26/2013,39.390897,-99.066067
1067,Grand Concourse and East 193rd Street,the Bronx,5/16/2022,40.865438,-73.895097
1068,Grand Concourse and Fordham Road,the Bronx,7/19/2012,40.862446,-73.89691
1069,Independence Avenue and West 235th Street,the Bronx,3/2/2022,40.886394,-73.913966
1070,Independence Avenue and West 239th Street,the Bronx,5/5/2022,40.889749,-73.91291
1071,Jerome Avenue and Buchanan Place ,the Bronx,8/9/2019,40.857712,-73.904294
1072,Jerome Avenue and East 169th Street,the Bronx,11/21/2019,40.837426,-73.920382
1073,Jerome Avenue and East 183rd Street ,the Bronx,9/1/2019,40.858709,-73.903686
1074,Jerome Avenue and Goble Place,the Bronx,4/24/2021,40.843378,-73.915454
1075,Jerome Avenue and Shakespeare Avenue,the Bronx,6/26/2022,40.834838,-73.924161
1076,Jerome Avenue and West 177th Street ,the Bronx,12/1/2019,40.850025,-73.910704
1077,Jerome Avenue and West 195th Street,the Bronx,4/16/2019,40.868583,-73.896535
1078,Jerome Avenue between East 208th Street and East Gun Hill Road (mid-block),the Bronx,2/21/2019,40.88271,-73.881231
1079,Jerome Avenue with Mosholu East and West Parkway,the Bronx,6/22/2021,40.869147,-73.880361
1080,Kappock Street and Netherland Avenue,the Bronx,5/2/2007,40.87887,-73.91677
1081,Laconia Avenue and East 215 Street,the Bronx,8/21/2019,40.877471,-73.853741
1082,Lafayette Avenue and Thieriot Avenue,the Bronx,11/17/2021,40.821559,-73.862046
1083,Lafayette Avenue and Underhill Avenue,the Bronx,4/23/2021,40.821816,-73.860213
1084,Longwood Avenue and Hewitt Place,the Bronx,12/6/2021,40.818626,-73.900012
1085,Mace Avenue and Colden Avenue,the Bronx,6/13/2014,40.863071,-73.859711
1086,Manhattan College Parkway and Waldo Avenue,the Bronx,11/22/2019,40.890979,-73.902408
1087,Morris Avenue and East 171st Street,the Bronx,2/8/2022,40.839007,-73.910708
1088,Morris Avenue and Teller Avenue,the Bronx,8/21/2020,40.841251,-73.909423
1089,Morris Park Avenue and Albert Einstein College of Medicine (mid-block),the Bronx,11/1/2011,39.390897,-99.066067
1090,Morris Park Avenue and East 180th Street,the Bronx,8/14/2020,40.840873,-73.872819
1091,Morris Park Avenue and Garfield Street,the Bronx,6/4/2022,40.843983,-73.869597
1092,Morris Park Avenue and Yates Avenue,the Bronx,6/14/2021,40.85069,-73.850492
1093,Mosholu Avenue and Fieldston Road,the Bronx,10/28/2021,40.905473,-73.900673
1094,Mosholu Avenue and West 256th Street ,the Bronx,11/29/2021,40.903868,-73.903122
1095,Park Avenue and East 158th Street ,the Bronx,12/12/2019,40.823395,-73.918346
1096,Pelham Parkway (WB) between Pearsall Avenue and Throop Avenue (mid-block),the Bronx,5/6/2022,40.858592,-73.851244
1097,Pelham Parkway and Narragansett Avenue,the Bronx,2/27/2019,40.85734,-73.851637
1098,Pelham Parkway N/S Service Roads and Williams Bridge Road,the Bronx,10/8/2015,40.856964,-73.856118
1099,Pelham Parkway North and Bronxwood Avenue,the Bronx,3/31/2022,40.857991,-73.861837
1100,Pelham Parkway North and Laconia Avenue,the Bronx,8/1/2014,40.858165,-73.856016
1101,Pelham Parkway South and Muliner Avenue,the Bronx,3/31/2022,40.856781,-73.861915
1102,Pelham Parkway South Service Road at Seymour Avenue,the Bronx,1/9/2020,40.858646,-73.846448
1103,Pugsley Avenue and Seward Avenue,the Bronx,5/24/2021,40.820306,-73.854633
1104,Randall Avenue and Manida Street,the Bronx,6/3/2021,40.811937,-73.887724
1105,Reservoir Avenue and University Avenue,the Bronx,6/4/2022,40.873763,-73.898468
1106,River Avenue and East 162nd Street,the Bronx,3/8/2017,40.829466,-73.924955
1107,Riverdale Avenue and West 256th Street,the Bronx,2/16/2022,40.904142,-73.905014
1108,Riverdale Avenue and West 259th Street,the Bronx,12/9/2021,40.906866,-73.904108
1109,Riverdale Avenue with West 231st Street and Irwin Avenue,the Bronx,3/12/2019,40.880473,-73.910537
1110,Sedgewick Avenue with Dickenson Avenue and Goulden Avenue,the Bronx,1/4/2019,40.882841,-73.888108
1111,Sedgwick Avenue and Undercliff Avenue,the Bronx,6/24/2022,40.852629,-73.919227
1112,Sedgwick Avenue and West 229th Street (mid-block),the Bronx,3/8/2019,40.686404,-74.002038
1113,Sedgwick Avenue and West 230th Street (mid-block),the Bronx,3/8/2019,40.686404,-74.002038
1114,Soundview Avenue at Thieriot Avenue (mid-block),the Bronx,6/24/2019,40.816343,-73.860847
1115,Southern Boulevard and East 189th Street (mid-block),the Bronx,3/11/2019,40.812063,-73.904133
1116,Southern Boulevard and Intervale Avenue,the Bronx,4/26/2019,40.798548,-73.661653
1117,Southern Boulevard and Leggett Avenue,the Bronx,11/19/2020,40.813504,-73.899178
1118,Southern Boulevard and Longwood Avenue,the Bronx,6/2/2022,40.816354,-73.896281
1119,Southern Boulevard with Crotona Parkway and East 176th Street,the Bronx,10/25/2019,40.839901,-73.885836
1120,Starling Avenue and Odell Street,the Bronx,6/22/2022,40.836152,-73.854184
1121,Starling Avenue and Olmstead Avenue,the Bronx,6/1/2022,40.83605,-73.855117
1122,Stillwell Avenue and Pelham Parkway South (Service Road),the Bronx,10/25/2019,40.856372,-73.838902
1123,Story Avenue and Bruckner Plaza Mall Exit/Entrance (between Boynton & Morrison Avenues),the Bronx,5/17/2017,41.963746,-73.989779
1124,Story Avenue at Thieriot Avenue,the Bronx,9/2/2020,40.823704,-73.862541
1125,Third Avenue and East 176th Street,the Bronx,10/28/2020,40.845369,-73.896841
1126,Third Avenue and St Pauls Place ,the Bronx,11/29/2021,40.835929,-73.902923
1127,Unionport Road and Crosswalk East of Metropolitan Oval (mid-block),the Bronx,9/10/2019,40.837777,-73.859723
1128,University Avenue (Martin Luther King Junior Boulevard) and Morton Place,the Bronx,3/28/2022,40.851077,-73.914851
1129,University Avenue and Macombs Road,the Bronx,3/13/2021,40.849593,-73.916537
1130,University Avenue and West 175th Street,the Bronx,5/17/2021,40.847737,-73.919453
1131,University Avenue and West 176th Street,the Bronx,4/30/2021,40.84925,-73.917453
1132,University Avenue and West 181st Street (mid-block),the Bronx,2/28/2019,40.857504,-73.909648
1133,University Avenue with Featherbed Lane and West 174th Street (mid-block),the Bronx,4/19/2019,40.846798,-73.920566
1134,Valentine Avenue and East 178th Street,the Bronx,10/28/2016,40.849418,-73.900886
1135,Valentine Avenue between East Tremont and East 178th Street,the Bronx,9/5/2013,40.849418,-73.900886
1136,Van Cortlandt Park East between East 239th Street and Oneida Avenue (mid-block),the Bronx,3/11/2019,40.899278,-73.873081
1137,Waring Avenue and Barker Avenue,the Bronx,8/26/2019,40.861382,-73.869439
1138,Watson Avenue and Colgate Avenue,the Bronx,9/20/2019,40.825665,-73.881354
1139,Webster Avenue 300' North of East 168th Street (mid-block),the Bronx,2/28/2019,40.847343,-73.901091
1140,Webster Avenue and East 189th Street,the Bronx,3/28/2022,40.860496,-73.892515
1141,Webster Avenue between East 169th and East 170th Street (mid-block),the Bronx,4/5/2019,40.836229,-73.907359
1142,Webster Avenue between East 170th Street and East 171st Street (mid-block),the Bronx,2/27/2019,40.838441,-73.905944
1143,Webster Avenue between East Gun Hill Road and East 233rd Street (mid-block),the Bronx,2/19/2019,40.895384,-73.863542
1144,Webster Avenue between East Tremont and East 178th Street,the Bronx,9/5/2013,40.849234,-73.900156
1145,West 169th Street with Cromwell Avenue and Inwood Avenue,the Bronx,8/12/2020,40.837776,-73.921378
1146,West 183rd Street and Andrews Avenue North,the Bronx,11/5/2021,40.860052,-73.908604
1147,West 230th Street and Corlear Avenue,the Bronx,1/26/2022,40.878974,-73.90903
1148,West Kingsbridge Road with Reservoir Avenue and Aqueduct Avenue West,the Bronx,12/21/2020,40.868053,-73.90012
1149,Westchester Avenue and West Farm Road,the Bronx,4/5/2020,40.824956,-73.891363
